Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,City,State
1,Walmart,Retail,611289,0.07,2100000,Bentonville, Arkansas
2,Amazon,Retail and cloud computing,513983,0.09,1540000,Seattle, Washington
3,ExxonMobil,Petroleum industry,413680,0.45,62000,Spring, Texas
4,Apple,Electronics industry,394328,0.08,164000,Cupertino, California
5,UnitedHealth Group,Healthcare,324162,0.13,400000,Minnetonka, Minnesota
6,CVS Health,Healthcare,322467,0.1,259500,Woonsocket, Rhode Island
7,Berkshire Hathaway,Conglomerate,302089,0.09,383000,Omaha, Nebraska
8,Alphabet,Technology and cloud computing,282836,0.1,156000,Mountain View, California
9,McKesson Corporation,Health,276711,0.05,48500,Irving, Texas
10,Chevron Corporation,Petroleum industry,246252,0.52,43846,San Ramon, California
11,Cencora,Pharmacy wholesale,238587,0.12,41500,Chesterbrook, Pennsylvania
12,Costco,Retail,226954,0.16,304000,Issaquah, Washington
13,Microsoft,Technology and cloud computing,198270,0.18,221000,Redmond, Washington
14,Cardinal Health,Healthcare,181364,0.12,46035,Dublin, Ohio
15,Cigna,Health insurance,180516,0.04,70231,Bloomfield, Connecticut
16,Marathon Petroleum,Petroleum industry,180012,0.28,17800,Findlay, Ohio
17,Phillips 66,Petroleum industry,175702,0.53,13000,Houston, Texas
18,Valero Energy,Petroleum industry,171189,0.58,9743,San Antonio, Texas
19,Ford Motor Company,Automotive industry,158057,0.16,173000,Dearborn, Michigan
20,The Home Depot,Retail,157403,0.04,471600,Atlanta, Georgia
21,General Motors,Automotive industry,156735,0.23,167000,Detroit, Michigan
22,Elevance Health,Healthcare,156595,0.13,102200,Indianapolis, Indiana
23,JPMorgan Chase,Financial services,154792,0.22,293723,New York City, New York
24,Kroger,Retail,148258,0.08,430000,Cincinnati, Ohio
25,Centene,Healthcare,144547,0.15,74300,St. Louis, Missouri
26,Verizon Communications,Telecommunications,136835,0.02,117100,New York City, New York
27,Walgreens Boots Alliance,Pharmaceutical industry,132703,0.11,262500,Deerfield, Illinois
28,Fannie Mae,Financials,121596,0.2,8000,Washington, D.C.
29,Comcast,Telecommunications,121427,0.04,186000,Philadelphia, Pennsylvania
30,AT&T,Conglomerate and telecomunications,120741,0.29,160700,Dallas, Texas
31,Meta Platforms,Technology,116609,0.01,86482,Menlo Park, California
32,Bank of America,Financials,115053,0.23,216823,Charlotte, North Carolina
33,Target Corporation,Retail,109120,0.03,440000,Minneapolis, Minnesota
34,Dell Technologies,Technology,102301,0.04,133000,Round Rock, Texas
35,Archer Daniels Midland,Food industry,101556,0.19,41181,Chicago, Illinois
36,Citigroup,Financials,101078,0.27,238104,New York City, New York
37,United Parcel Service,Transportation,100338,0.03,404700,Atlanta, Georgia
38,Pfizer,Pharmaceutical industry,100330,0.23,83000,New York City, New York
39,Lowe's,Retail,97059,0.01,244500,Mooresville, North Carolina
40,Johnson & Johnson,Pharmaceutical industry,94943,0.01,152700,New Brunswick, New Jersey
41,FedEx,Transportation,93512,0.11,518249,Memphis, Tennessee
42,Humana,Health insurance,92870,0.12,67100,Louisville, Kentucky
43,Energy Transfer Partners,Petroleum industry,89876,0.33,12565,Dallas, Texas
44,State Farm,Financials,89328,0.09,60519,Bloomington, Illinois
45,Freddie Mac,Financials,86717,0.32,7819,McLean, Virginia
46,PepsiCo,Beverage,86859,0.09,315000,Purchase, New York
47,Wells Fargo,Financials,82859,0.01,238000,San Francisco, California
48,The Walt Disney Company,Media,82722,0.23,195800,Burbank, California
49,ConocoPhillips,Petroleum industry,82156,0.7,9500,Houston, Texas
50,Tesla,Automotive and energy,81462,0.51,127855,Austin, Texas
51,Procter & Gamble,Consumer products manufacturing,80187,0.05,106000,Cincinnati, Ohio
52,United States Postal Service,Logistics,78620,0.02,576000,Washington, D.C.
53,Albertsons,Retail,77650,0.08,198650,Boise, Idaho
54,General Electric,Conglomerate,76555,0.03,172000,Boston, Massachusetts
55,MetLife,Financials,69898,0.02,45000,New York City, New York
56,Goldman Sachs,Financials,68711,0.06,48500,New York City, New York
57,Sysco,Food service,68636,0.34,70510,Houston, Texas
58,Bunge Limited,Food industry,67232,0.14,23000,White Plains, New York
59,RTX Corporation,Conglomerate,67074,0.04,182000,Arlington County, Virginia
60,Boeing,Aerospace and defense,66608,0.07,156000,Arlington County, Virginia
61,StoneX Group,Financials,66036,0.55,"4,000[2]",New York City, New York
62,Lockheed Martin,Aerospace and defense,65984,0.02,116000,Bethesda, Maryland
63,Morgan Stanley,Financials,65936,0.08,82427,New York City, New York
64,Intel,Technology,63054,0.2,131900,Santa Clara, California
65,HP,Technology,62983,0.01,58000,Palo Alto, California
66,TD Synnex,Infotech,62344,0.97,28500,Clearwater, Florida
67,IBM,Technology and cloud computing,60530,0.16,303100,Armonk, New York
68,HCA Healthcare,Healthcare,60233,0.03,250500,Nashville, Tennessee
69,Prudential Financial,Financials,60050,0.15,39583,Newark, New Jersey
70,Caterpillar,Machinery,59427,0.17,109100,Deerfield, Illinois
71,Merck & Co.,Pharmaceutical industry,59283,0.16,68000,Kenilworth, New Jersey
72,World Fuel Services,Petroleum industry and logistics,59043,0.88,5214,Miami, Florida
73,New York Life Insurance Company,Insurance,58445,0.14,15050,New York City, New York
74,Enterprise Products,Petroleum industry,58186,0.43,7300,Houston, Texas
75,AbbVie,Pharmaceutical industry,58054,0.03,50000,Lake Bluff, Illinois
76,Plains All American Pipeline,Petroleum industry,57342,0.36,4100,Houston, Texas
77,Dow Chemical Company,Chemical industry,56902,0.04,37800,Midland, Michigan
78,AIG,Insurance,56437,0.08,26200,New York City, New York
79,American Express,Financial,55625,0.27,77300,New York City, New York
80,Publix,Retail,54942,0.14,242000,Lakeland, Florida
81,Charter Communications,Telecommunications,54022,0.05,101700,Stamford, Connecticut
82,Tyson Foods,Food processing,53282,0.13,142000,Springdale, Arkansas
83,John Deere,Agriculture manufacturing,52577,0.19,82239,Moline, Illinois
84,Cisco,Telecom hardware manufacturing,51557,0.04,83300,San Jose, California
85,Nationwide Mutual Insurance Company,Financial,51450,0.09,24791,Columbus, Ohio
86,Allstate,Insurance,51412,0.03,54250,Northfield Township, Cook County
87,Delta Air Lines,Airline,50582,0.69,95000,Atlanta, Georgia
88,Liberty Mutual,Insurance,49956,0.04,50000,Boston, Massachusetts
89,TJX,Retail,49936,0.03,329000,Framingham, Massachusetts
90,Progressive Corporation,Insurance,49611,0.04,55063,Mayfield Village, Ohio
91,American Airlines,Airline,48971,0.64,129700,Fort Worth, Texas
92,CHS,Agriculture cooperative,47194,0.24,10014,Inver Grove Heights, Minnesota
93,Performance Food Group,Food processing,47194,0.62,34825,Richmond, Virginia
94,PBF Energy,Petroleum industry,46830,0.72,3616,Parsippanyâ€“Troy Hills, New Jersey
95,Nike,Apparel,46710,0.05,79100,Beaverton, Oregon
96,Best Buy,Retail,46298,0.11,71100,Richfield, Minnesota
97,Bristol-Myers Squibb,Pharmaceutical industry,46159,0.01,34300,New York City, New York
98,United Airlines,Airline,44955,0.83,92795,Chicago, Illinois
99,Thermo Fisher Scientific,Laboratory instruments,44915,0.15,130000,Waltham, Massachusetts
100,Qualcomm,Technology,44200,0.32,51000,San Diego, California
